ID,DateTime,Tag,Value
424,11/20/2018 12:08:15,18:FE:34:A4:33:5E,38
425,11/20/2018 13:05:03,18:FE:34:A4:33:5E,37
426,11/20/2018 14:01:38,18:FE:34:A4:33:5E,36
427,11/20/2018 14:58:39,18:FE:34:A4:33:5E,36
428,11/20/2018 15:55:30,18:FE:34:A4:33:5E,36
429,11/20/2018 16:52:25,18:FE:34:A4:33:5E,35
430,11/20/2018 17:49:16,18:FE:34:A4:33:5E,35
431,11/20/2018 18:46:04,18:FE:34:A4:33:5E,34
432,11/20/2018 19:42:58,18:FE:34:A4:33:5E,34
433,11/20/2018 20:39:54,18:FE:34:A4:33:5E,33
434,11/20/2018 21:36:55,18:FE:34:A4:33:5E,33
435,11/20/2018 22:33:51,18:FE:34:A4:33:5E,33
